,churn,suceessful,revenue,covid_cases_zip,reviews_per_month,review_scores_rating,number_of_reviews_ltm,number_of_reviews,calculated_host_listings_count,calculated_host_listings_count_entire_homes,host_response_time,host_response_rate,host_acceptance_rate,cleaning_fee,maximum_minimum_nights,minimum_nights_avg_ntm,availability_365,review_scores_checkin
5636,0,5,20706,35.0,0.37,75.5,4,4,14,0,3.8333333333333335,95.83333333333333,99.055175,0.0,3.0,2.0,0,10.0
5637,0,6,18000,23.0,0.09,100.0,1,1,2,2,1.0,96.78595,88.055175,100.0,30.0,30.0,0,10.0
5638,0,3,13800,34.0,2.02,97.66666666666667,19,19,1,1,3.8333333333333335,100.0,99.055175,140.0,2.0,2.0,254,10.0
5639,0,0,3552,59.0,2.64,98.0,27,27,1,0,3.0,100.0,95.72184166666666,90.95796,30.0,30.0,14,10.0
5640,0,5,21420,35.0,0.32,92.5,3,3,14,0,3.8333333333333335,95.83333333333333,99.055175,0.0,3.0,2.0,0,10.0
5641,1,0,6050,35.0,1.04,99.12251,4,4,2,2,4.0,100.0,100.0,40.0,2.8,1.6,89,10.0
5642,0,0,4930,35.0,2.24,85.0,27,27,42,42,4.0,100.0,98.22184166666666,75.0,2.8333333333333335,1.116666666666667,22,9.0
5643,0,1,13120,35.0,2.51,94.16666666666667,29,29,42,42,4.0,100.0,98.22184166666666,75.0,2.6666666666666665,1.0999999999999999,0,10.0
5644,0,0,3500,46.0,3.32,98.0,36,36,1,1,2.5,98.39297499999999,94.88850833333333,20.0,30.0,30.0,179,10.0
5645,0,1,8479,35.0,3.88,86.16666666666667,42,42,24,0,3.6666666666666665,100.0,99.055175,0.0,3.0,1.4500000000000002,276,10.0
5646,0,1,6992,35.0,2.19,99.33333333333333,22,22,2,2,4.0,98.33333333333333,96.555175,125.0,1.0,1.0,364,10.0
5647,0,0,1500,35.0,2.188318,95.61255,0,0,1,1,0.8333333333333334,80.65495833333334,57.388508333333334,75.0,30.0,30.0,89,9.872224000000001
5648,1,2,51948,35.0,2.188318,95.61255,0,0,5,0,2.5,98.392975,97.165525,0.0,3.0,1.0,185,9.872224000000001
5649,1,2,51948,35.0,2.188318,95.61255,0,0,5,0,2.5,98.392975,97.165525,0.0,3.0,1.0,184,9.872224000000001
5650,1,2,51948,35.0,2.188318,95.61255,0,0,5,0,2.5,98.392975,97.165525,0.0,3.0,1.0,182,9.872224000000001
5651,1,3,72927,35.0,2.188318,95.61255,0,0,5,0,2.0,97.85730000000001,96.22070000000001,0.0,3.0,1.0333333333333334,180,9.872224000000001
5652,1,2,5200,35.0,2.188318,95.61255,0,0,5,0,2.5,98.392975,97.165525,0.0,3.0,1.0,186,9.872224000000001
5653,0,2,9250,30.0,2.17,97.16666666666667,25,25,10,10,4.0,97.0,97.38850833333333,170.0,2.3333333333333335,2.233333333333333,90,10.0
5654,0,4,17150,24.0,2.39,96.5,27,27,1,1,4.0,100.0,99.055175,150.0,2.0,2.0,349,10.0
5655,0,3,18750,27.0,0.94,100.0,5,5,4,4,4.0,96.25,97.0827625,125.0,4.0,3.0,78,10.0
5656,0,3,11700,35.0,1.42,100.0,16,16,1,1,1.1666666666666667,92.321625,99.055175,75.0,30.0,30.0,127,10.0
5657,0,0,1140,27.0,4.36,94.75,41,41,1,1,4.0,100.0,98.5827625,75.0,1.0,1.0,332,10.0
5658,0,0,7125,35.0,1.94,84.5,12,12,12,12,4.0,74.16666666666667,98.38850833333333,80.0,1.0,1.0,22,10.0
5659,0,6,51660,35.0,2.188318,95.61255,0,0,10,0,1.0,96.78595,94.33105,0.0,2.3333333333333335,1.0,0,9.872224000000001
5660,0,0,7353,35.0,0.55,100.0,6,6,7,0,4.0,96.66666666666667,99.055175,0.0,3.0,1.3499999999999999,176,10.0
5661,0,6,26460,35.0,2.188318,95.61255,0,0,10,0,1.0,96.78595,94.33105,0.0,2.3333333333333335,1.0166666666666666,0,9.872224000000001
5662,0,6,24660,35.0,2.188318,95.61255,0,0,10,0,1.0,96.78595,94.33105,0.0,2.3333333333333335,1.0166666666666666,0,9.872224000000001
5663,0,6,24660,35.0,2.188318,95.61255,0,0,10,0,1.0,96.78595,94.33105,0.0,2.3333333333333335,1.0,0,9.872224000000001
5664,0,2,13500,35.0,0.09,80.0,1,1,1,1,1.0,96.78595,99.055175,10.0,30.0,30.0,0,6.0
5665,0,0,3975,35.0,2.188318,95.61255,0,0,43,43,3.6666666666666665,92.83333333333333,98.72184166666666,47.0,30.0,30.0,362,9.872224000000001
5666,0,0,4257,35.0,2.39,100.0,23,23,7,0,4.0,96.66666666666667,99.055175,0.0,3.0,1.3499999999999999,214,10.0
5667,0,4,10969,34.0,2.08,86.83333333333333,24,24,112,111,3.8333333333333335,97.0,98.22184166666666,131.0,2.0,2.0,272,10.0
5668,0,0,2400,46.0,1.95,99.33333333333333,23,23,2,0,3.8333333333333335,93.33333333333333,95.055175,50.0,1.0,1.0,90,10.0
5669,0,0,3870,35.0,4.09,98.83333333333333,47,47,7,0,4.0,96.66666666666667,99.055175,0.0,3.0,1.3499999999999999,214,10.0
5670,0,0,5934,35.0,2.06,99.0,24,24,7,0,4.0,96.66666666666667,99.055175,0.0,3.0,1.3499999999999999,214,10.0
5671,0,0,3741,35.0,1.29,100.0,8,8,7,0,4.0,96.66666666666667,99.055175,0.0,3.0,1.3499999999999999,214,10.0
5672,0,0,2709,35.0,0.17,98.53751666666666,2,2,7,0,4.0,96.66666666666667,99.055175,0.0,3.0,1.3499999999999999,214,10.0
5673,0,0,2580,35.0,1.47,97.26875833333334,7,7,7,0,4.0,96.66666666666667,99.055175,0.0,3.0,1.3499999999999999,214,10.0
5674,0,0,1615,46.0,0.41,100.0,3,3,1,1,1.3333333333333333,96.19063333333334,90.72184166666666,100.0,30.0,30.0,179,10.0
5675,0,5,25810,76.0,1.06,100.0,8,8,1,1,2.0,97.85730000000001,99.055175,110.0,30.0,30.0,156,10.0
5676,0,1,2555,24.0,1.07,98.0,12,12,2,2,3.8333333333333335,100.0,99.055175,135.0,30.0,30.0,364,10.0
5677,0,0,3198,46.0,0.8,84.0,9,9,1,1,2.0,98.92865,94.055175,60.0,30.0,30.0,180,9.0
5678,0,2,7700,8.0,1.1,96.66666666666667,7,7,2,2,4.0,100.0,97.44368333333334,75.0,3.0,3.0,142,10.0
5679,0,3,7700,59.0,1.28,90.26875833333334,8,8,4,4,4.0,100.0,98.055175,185.0,2.0,1.6000000000000003,88,10.0
5680,0,0,4819,34.0,0.62,94.0,7,7,1,1,1.0,40.63099166666667,99.055175,75.0,30.0,30.0,89,10.0
5681,0,2,10105,5.0,1.3,95.0,15,15,2,2,3.6666666666666665,99.16666666666667,98.22184166666666,110.0,5.333333333333333,5.333333333333333,174,10.0
5682,0,0,3368,34.0,0.87,97.0,7,7,1,0,2.3333333333333335,82.392975,99.055175,30.0,30.0,30.0,89,9.0
5683,0,1,3350,27.0,0.54,54.4,5,5,25,9,4.0,98.4,97.26621,40.0,3.0,1.08,294,10.0
5684,0,5,20700,34.0,3.17,100.0,26,26,1,1,3.8333333333333335,100.0,99.055175,50.0,2.0,2.0,37,10.0
5685,0,0,4000,34.0,0.71,93.5,8,8,1,1,2.6666666666666665,99.46432499999999,87.055175,75.0,2.0,2.0,180,10.0
5686,0,0,6630,35.0,7.36,100.0,78,78,1,1,4.0,99.16666666666667,97.88850833333333,60.0,2.0,1.3666666666666665,184,10.0
5687,0,1,5010,46.0,1.32,100.0,10,10,1,1,4.0,100.0,99.055175,75.0,2.3333333333333335,1.8499999999999999,114,10.0
5688,0,2,12500,30.0,2.17,97.5,25,25,10,10,4.0,97.0,97.38850833333333,100.0,1.6666666666666667,1.6666666666666667,54,10.0
5689,0,1,6323,35.0,0.88,92.83333333333333,10,10,7,7,4.0,100.0,99.055175,150.0,5.0,3.7833333333333337,4,10.0
